EXP, timestamp,flowid, srcIP, destIP, protocol, swid,flow_packet_count,packets_in_queue,queue_timedelta,hitter, packet_length
1,1638795471,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 35 ,0 ,34 ,0 ,98 
1,1638795471,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 34 ,0 ,215 ,0 ,98 
1,1638795471,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 34 ,0 ,228 ,0 ,134 
1,1638795471,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 36 ,0 ,567 ,0 ,134 
1,1638795471,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 36 ,0 ,31 ,0 ,98 
1,1638795471,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 35 ,0 ,1058 ,0 ,98 
1,1638795471,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 35 ,0 ,174 ,0 ,134 
1,1638795471,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 37 ,0 ,173 ,0 ,134 
1,1638795471,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 37 ,0 ,25 ,0 ,98 
1,1638795471,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 36 ,0 ,166 ,0 ,98 
1,1638795471,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 36 ,0 ,34 ,0 ,134 
1,1638795471,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 38 ,0 ,130 ,0 ,134 
1,1638795471,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 38 ,0 ,37 ,0 ,98 
1,1638795471,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 37 ,0 ,705 ,0 ,98 
1,1638795471,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 37 ,0 ,31 ,0 ,134 
1,1638795471,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 39 ,0 ,150 ,0 ,134 
1,1638795471,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 39 ,0 ,30 ,0 ,98 
1,1638795471,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 38 ,0 ,175 ,0 ,98 
1,1638795471,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 38 ,0 ,39 ,0 ,134 
1,1638795471,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 40 ,0 ,461 ,0 ,134 
1,1638795471,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 40 ,0 ,27 ,0 ,98 
1,1638795472,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 39 ,0 ,195 ,0 ,98 
1,1638795472,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 39 ,0 ,36 ,0 ,134 
1,1638795472,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 41 ,0 ,161 ,0 ,134 
1,1638795472,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 41 ,0 ,272 ,0 ,98 
1,1638795472,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 40 ,0 ,540 ,0 ,98 
1,1638795472,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 40 ,0 ,34 ,0 ,134 
1,1638795472,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 42 ,0 ,303 ,0 ,134 
1,1638795472,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 42 ,0 ,115 ,0 ,98 
1,1638795472,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 41 ,0 ,2503 ,0 ,98 
1,1638795472,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 41 ,0 ,35 ,0 ,134 
1,1638795472,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 43 ,0 ,29 ,0 ,134 
1,1638795472,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 43 ,0 ,228 ,0 ,98 
1,1638795472,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 42 ,0 ,201 ,0 ,98 
1,1638795472,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 42 ,0 ,145 ,0 ,134 
1,1638795472,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 44 ,0 ,31 ,0 ,134 
1,1638795472,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 44 ,0 ,131 ,0 ,98 
1,1638795472,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 43 ,0 ,203 ,0 ,98 
1,1638795472,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 43 ,0 ,164 ,0 ,134 
1,1638795473,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 45 ,0 ,26 ,0 ,134 
1,1638795473,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 45 ,0 ,54 ,0 ,98 
1,1638795473,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 44 ,0 ,239 ,0 ,98 
1,1638795473,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 44 ,0 ,306 ,0 ,134 
1,1638795473,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 46 ,0 ,22 ,0 ,134 
1,1638795473,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 46 ,0 ,48 ,0 ,98 
1,1638795473,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 45 ,0 ,103 ,0 ,98 
1,1638795473,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 45 ,0 ,178 ,0 ,134 
1,1638795473,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 47 ,0 ,24 ,0 ,134 
1,1638795473,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 47 ,0 ,214 ,0 ,98 
1,1638795473,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 46 ,0 ,27 ,0 ,98 
1,1638795473,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 46 ,0 ,351 ,0 ,134 
1,1638795473,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 48 ,0 ,24 ,0 ,134 
1,1638795473,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 48 ,0 ,453 ,0 ,98 
1,1638795473,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 47 ,0 ,302 ,0 ,98 
1,1638795473,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 47 ,0 ,261 ,0 ,134 
1,1638795473,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 49 ,0 ,26 ,0 ,134 
1,1638795473,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 49 ,0 ,400 ,0 ,98 
1,1638795473,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 48 ,0 ,95 ,0 ,98 
1,1638795473,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 48 ,0 ,372 ,0 ,134 
1,1638795474,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 50 ,0 ,109 ,0 ,134 
1,1638795474,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 50 ,0 ,197 ,0 ,98 
1,1638795474,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 49 ,0 ,26 ,0 ,98 
1,1638795474,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 49 ,0 ,1796 ,0 ,134 
1,1638795474,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 51 ,0 ,22 ,0 ,134 
1,1638795474,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 51 ,0 ,208 ,0 ,98 
1,1638795474,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 50 ,0 ,49 ,0 ,98 
1,1638795474,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 50 ,0 ,199 ,0 ,134 
1,1638795474,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 52 ,0 ,20 ,0 ,134 
1,1638795474,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 52 ,0 ,998 ,0 ,98 
1,1638795474,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 51 ,0 ,24 ,0 ,98 
1,1638795474,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 51 ,0 ,212 ,0 ,134 
1,1638795474,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 53 ,0 ,26 ,0 ,134 
1,1638795474,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 53 ,0 ,33 ,0 ,98 
1,1638795474,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 52 ,0 ,28 ,0 ,98 
1,1638795474,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 52 ,0 ,247 ,0 ,134 
1,1638795474,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 54 ,0 ,34 ,0 ,134 
1,1638795474,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 54 ,0 ,30 ,0 ,98 
1,1638795474,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 53 ,0 ,31 ,0 ,98 
1,1638795474,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 53 ,0 ,277 ,0 ,134 
1,1638795475,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 55 ,0 ,25 ,0 ,134 
1,1638795475,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 55 ,0 ,30 ,0 ,98 
1,1638795475,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 54 ,0 ,29 ,0 ,98 
1,1638795475,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 54 ,0 ,243 ,0 ,134 
1,1638795475,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 56 ,0 ,25 ,0 ,134 
1,1638795475,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 56 ,0 ,41 ,0 ,98 
1,1638795475,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 55 ,0 ,124 ,0 ,98 
1,1638795475,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 55 ,0 ,217 ,0 ,134 
1,1638795475,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 57 ,0 ,30 ,0 ,134 
1,1638795475,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 57 ,0 ,35 ,0 ,98 
1,1638795475,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 56 ,0 ,31 ,0 ,98 
1,1638795475,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 56 ,0 ,435 ,0 ,134 
1,1638795475,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 58 ,0 ,19 ,0 ,134 
1,1638795475,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 58 ,0 ,37 ,0 ,98 
1,1638795475,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 57 ,0 ,30 ,0 ,98 
1,1638795475,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 57 ,0 ,270 ,0 ,134 
1,1638795475,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 59 ,0 ,22 ,0 ,134 
